Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.087,-273.15,100,0.0,100
0.405,-273.15,100,0.0,100
0.716,-273.15,100,0.0,100
1.023,-273.15,100,0.0,100
1.341,-273.15,100,0.0,100
1.649,-273.15,100,0.0,100
1.965,-273.15,100,0.0,100
1.966,-273.15,100,0.0,100
2.274,-273.15,100,0.0,100
2.589,-273.15,100,0.0,100
2.902,-273.15,100,0.0,100
3.212,-273.15,100,0.0,100
3.525,-273.15,100,0.0,100
3.835,-273.15,100,0.0,100
4.148,-273.15,100,0.0,100
4.46,-273.15,100,0.0,100
4.785,-273.15,100,0.0,100
5.089,-273.15,100,0.0,100
5.41,-273.15,100,0.0,100
5.722,-273.15,100,0.0,100
6.033,-273.15,100,0.0,100
6.347,-273.15,100,0.0,100
6.651,-273.15,100,0.0,100
6.961,-273.15,100,0.0,100
7.282,-273.15,100,0.0,100
7.595,-273.15,100,0.0,100
7.899,-273.15,100,0.0,100
8.218,-273.15,100,0.0,100
8.529,-273.15,100,0.0,100
8.84,-273.15,100,0.0,100
9.153,nan,100,0.0,100
9.467,-273.15,100,0.0,100
9.467,nan,100,0.0,100
9.774,-273.15,100,0.0,100
10.091,-273.15,100,0.0,100
10.402,-273.15,100,0.0,100
10.713,-273.15,100,0.0,100
11.027,-273.15,100,0.0,100
11.34,-273.15,100,0.0,100
11.652,-273.15,100,0.0,100
11.96,-273.15,100,0.0,100
12.276,-273.15,100,0.0,100
12.588,-273.15,100,0.0,100
12.899,-273.15,100,0.0,100
13.211,nan,100,0.0,100
13.523,nan,100,0.0,100
13.853,nan,100,0.0,100
14.164,nan,100,0.0,100
14.479,nan,100,0.0,100
14.79,nan,100,0.0,100
15.115,-273.15,100,0.0,100
15.427,-273.15,100,0.0,100
15.739,-273.15,100,0.0,100
16.039,-273.15,100,0.0,100
16.35,-273.15,100,0.0,100
16.351,-273.15,100,0.0,100
16.664,-273.15,100,0.0,100
16.976,-273.15,100,0.0,100
17.288,-273.15,100,0.0,100
17.613,-273.15,100,0.0,100
17.924,-273.15,100,0.0,100
18.226,-273.15,100,0.0,100
18.546,-273.15,100,0.0,100
18.859,-273.15,100,0.0,100
19.164,-273.15,100,0.0,100
19.482,-273.15,100,0.0,100
19.793,-273.15,100,0.0,100
20.101,-273.15,100,0.0,100
20.417,-273.15,100,0.0,100
20.729,-273.15,100,0.0,100
21.039,-273.15,100,0.0,100
21.352,-273.15,100,0.0,100
21.663,-273.15,100,0.0,100
21.978,-273.15,100,0.0,100
22.289,-273.15,100,0.0,100
22.602,-273.15,100,0.0,100
22.914,-273.15,100,0.0,100
23.235,-273.15,100,0.0,100
23.544,-273.15,100,0.0,100
23.857,-273.15,100,0.0,100
23.858,-273.15,100,0.0,100
24.168,-273.15,100,0.0,100
24.479,-273.15,100,0.0,100
24.789,-273.15,100,0.0,100
25.102,-273.15,100,0.0,100
25.429,-273.15,100,0.0,100
25.754,-273.15,100,0.0,100
26.065,-273.15,100,0.0,100
26.377,-273.15,100,0.0,100
26.69,-273.15,100,0.0,100
27.005,-273.15,100,0.0,100
27.317,-273.15,100,0.0,100
27.629,-273.15,100,0.0,100
27.943,-273.15,100,0.0,100
28.254,-273.15,100,0.0,100
28.568,-273.15,100,0.0,100
28.881,-273.15,100,0.0,100
29.197,-273.15,100,0.0,100
29.51,nan,100,0.0,100
29.823,nan,100,0.0,100
30.133,-273.15,100,0.0,100
30.446,nan,100,0.0,100
30.758,-273.15,100,0.0,100
30.758,nan,100,0.0,100
31.07,-273.15,100,0.0,100
31.384,-273.15,100,0.0,100
31.709,-273.15,100,0.0,100
32.021,-273.15,100,0.0,100
32.333,-273.15,100,0.0,100
32.645,-273.15,100,0.0,100
32.956,-273.15,100,0.0,100
33.267,-273.15,100,0.0,100
33.578,-273.15,100,0.0,100
33.89,-273.15,100,0.0,100
34.202,-273.15,100,0.0,100
34.512,-273.15,100,0.0,100
34.822,-273.15,100,0.0,100
35.135,-273.15,100,0.0,100
35.448,-273.15,100,0.0,100
35.759,-273.15,100,0.0,100
36.069,-273.15,100,0.0,100
36.395,-273.15,100,0.0,100
36.709,-273.15,100,0.0,100
37.023,-273.15,100,0.0,100
37.349,-273.15,100,0.0,100
37.354,-273.15,100,0.0,100
37.659,-273.15,100,0.0,100
37.971,-273.15,100,0.0,100
38.283,-273.15,100,0.0,100
38.594,-273.15,100,0.0,100
38.905,-273.15,100,0.0,100
39.217,-273.15,100,0.0,100
39.529,-273.15,100,0.0,100
39.841,-273.15,100,0.0,100
40.153,-273.15,100,0.0,100
40.464,nan,100,0.0,100
40.774,-273.15,100,0.0,100
41.086,-273.15,100,0.0,100
41.411,-273.15,100,0.0,100
41.72,-273.15,100,0.0,100
42.034,nan,100,0.0,100
42.346,-273.15,100,0.0,100
42.66,nan,100,0.0,100
42.973,-273.15,100,0.0,100
43.287,-273.15,100,0.0,100
43.599,-273.15,100,0.0,100
43.909,-273.15,100,0.0,100
44.221,-273.15,100,0.0,100
44.535,-273.15,100,0.0,100
44.844,-273.15,100,0.0,100
45.156,-273.15,100,0.0,100
45.157,-273.15,100,0.0,100
45.467,-273.15,100,0.0,100
45.779,-273.15,100,0.0,100
46.088,-273.15,100,0.0,100
46.4,-273.15,100,0.0,100
46.711,-273.15,100,0.0,100
47.036,-273.15,100,0.0,100
47.335,-273.15,100,0.0,100
47.662,-273.15,100,0.0,100
47.961,-273.15,100,0.0,100
48.285,-273.15,100,0.0,100
48.587,-273.15,100,0.0,100
48.897,-273.15,100,0.0,100
49.22,-273.15,100,0.0,100
49.535,nan,100,0.0,100
49.841,nan,100,0.0,100
50.159,nan,100,0.0,100
50.461,nan,100,0.0,100
50.784,nan,100,0.0,100
51.095,nan,100,0.0,100
51.406,nan,100,0.0,100
51.718,nan,100,0.0,100
52.028,-273.15,100,0.0,100
52.341,-273.15,100,0.0,100
52.342,-273.15,100,0.0,100
52.654,-273.15,100,0.0,100
52.968,-273.15,100,0.0,100
53.279,-273.15,100,0.0,100
53.592,-273.15,100,0.0,100
53.898,-273.15,100,0.0,100
54.218,-273.15,100,0.0,100
54.531,-273.15,100,0.0,100
54.836,-273.15,100,0.0,100
55.15,-273.15,100,0.0,100
55.463,-273.15,100,0.0,100
55.781,-273.15,100,0.0,100
56.094,-273.15,100,0.0,100
56.407,-273.15,100,0.0,100
56.718,-273.15,100,0.0,100
57.026,-273.15,100,0.0,100
57.337,-273.15,100,0.0,100
57.649,-273.15,100,0.0,100
57.962,-273.15,100,0.0,100
58.273,-273.15,100,0.0,100
58.587,-273.15,100,0.0,100
58.898,-273.15,100,0.0,100
59.225,nan,100,0.0,100
59.537,-273.15,100,0.0,100
59.851,-273.15,100,0.0,100
59.852,nan,100,0.0,100
60.166,-273.15,100,0.0,100
60.481,-273.15,100,0.0,100
60.794,-273.15,100,0.0,100
61.104,-273.15,100,0.0,100
61.414,-273.15,100,0.0,100
61.727,-273.15,100,0.0,100
62.038,-273.15,100,0.0,100
