Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.004,22.65,0,,0.0,0
0.005,22.4,0,,0.0,0
0.227,22.38,0,,0.0,0
0.548,22.6,0,,0.0,0
0.864,22.5,0,,0.0,0
1.175,22.43,0,,0.0,0
1.486,22.5,0,,0.0,0
1.794,22.4,0,,0.0,0
2.104,22.57,0,,0.0,0
2.417,22.7,0,,0.0,0
2.728,22.79,0,,0.0,0
3.053,22.77,0,,0.0,0
3.366,22.68,0,,0.0,0
3.675,22.67,0,,0.0,0
3.978,22.5,,0.0,0.0,0
4.294,22.52,,0.0,0.0,0
4.607,22.52,,0.0,0.0,0
4.918,22.55,,0.0,0.0,0
5.228,22.89,,94.06,0.0,0
5.551,23.14,,86.8,0.0,0
5.861,23.52,,75.44,0.0,0
6.171,23.64,,72.16,0.0,0
6.485,23.83,,66.85,0.0,0
6.796,23.46,,78.42,0.0,0
7.103,23.42,,79.69,0.0,0
7.416,23.24,,85.5,0.0,0
7.742,23.14,,88.8,0.0,0
7.743,23.36,,82.49,0.0,0
8.053,23.34,,83.54,0.0,0
8.363,23.24,,86.82,0.0,0
8.677,23.53,,78.5,0.0,0
8.986,23.17,,89.38,0.0,0
9.296,23.27,,86.64,0.0,0
9.609,23.52,,79.63,0.0,0
9.921,23.44,,82.41,0.0,0
10.234,23.66,,76.1,180.0,0
10.542,23.88,,69.75,180.0,0
10.853,23.94,,67.93,180.0,0
11.168,24.16,,61.74,330.0,0
11.478,24.16,,61.92,330.0,0
11.805,24.13,,63.12,330.0,0
12.131,23.83,,72.42,330.0,0
12.442,23.89,,70.6,360.0,0
12.752,23.68,,77.61,360.0,0
13.063,23.76,,75.31,360.0,0
13.373,23.73,,76.54,120.0,0
13.686,23.61,,80.32,120.0,0
14.009,23.69,,78.04,120.0,0
14.306,23.36,,88.63,0.0,0
14.632,23.57,,82.33,0.0,0
14.946,23.52,,84.09,0.0,0
15.254,23.73,,78.27,0.0,0
15.564,23.64,,81.04,1350.0,0
15.569,23.81,,76.44,1350.0,0
15.874,23.94,,72.6,1350.0,0
16.188,23.88,,74.83,150.0,0
16.499,23.91,,74.03,150.0,0
16.807,23.98,,72.21,150.0,0
17.119,23.89,,75.15,30.0,0
17.431,23.94,,73.84,30.0,0
17.755,23.86,,76.58,30.0,0
18.057,23.91,,75.27,30.0,4
18.38,22.34,,100.0,5370.0,5
18.688,22.48,,100.0,5370.0,4
19.001,22.56,,100.0,5370.0,3
19.313,22.56,,100.0,58530.0,3
19.621,24.25,,67.1,58530.0,3
19.932,23.84,,79.62,58530.0,3
20.246,23.84,,79.84,52770.0,42
20.558,23.64,,86.13,52770.0,50
20.868,23.57,,88.4,52770.0,100
21.194,23.89,,79.0,52770.0,100
21.497,24.27,,68.24,47700.0,100
21.805,24.57,,59.28,47700.0,67
22.118,24.47,,62.46,47700.0,28
22.432,24.33,,66.68,22050.0,13
22.743,24.25,,69.39,22050.0,13
23.069,24.25,,69.74,22050.0,14
23.382,24.37,,66.36,52560.0,14
23.688,24.45,,63.99,52560.0,13
24.0,24.33,,67.69,52560.0,7
24.314,24.11,,74.46,52560.0,6
24.315,23.94,,79.91,52560.0,6
24.621,23.83,,83.67,52560.0,5
24.933,23.78,,85.4,52560.0,5
25.259,23.91,,81.57,53160.0,5
25.583,23.86,,83.3,53160.0,5
25.895,23.99,,79.67,53160.0,5
26.206,24.06,,77.84,52980.0,5
26.517,24.01,,79.56,52980.0,5
26.827,23.89,,83.31,52980.0,5
27.139,24.15,,75.9,52980.0,5
27.45,24.23,,73.73,51810.0,5
27.759,24.21,,74.42,51810.0,5
28.071,24.54,,64.94,51810.0,5
28.398,24.5,,66.1,49140.0,5
28.698,24.47,,67.27,49140.0,5
29.01,24.77,,58.41,49140.0,5
29.331,24.72,,60.06,47310.0,5
29.64,24.48,,67.3,47310.0,5
29.953,24.54,,65.92,47310.0,5
30.262,24.37,,71.15,47310.0,5
30.573,23.91,,85.21,47520.0,5
30.884,23.89,,85.92,47520.0,5
31.207,23.67,,92.73,47520.0,5
31.518,23.86,,87.37,53490.0,5
31.829,23.73,,91.64,53490.0,5
32.137,24.01,,83.46,53490.0,5
32.452,24.23,,77.06,54510.0,5
32.454,23.99,,84.35,54510.0,5
32.76,24.1,,81.51,54510.0,5
33.087,23.99,,84.74,52440.0,5
33.397,24.35,,74.42,52440.0,5
33.71,24.47,,71.04,52440.0,5
34.018,24.57,,68.14,52440.0,5
34.329,24.64,,66.25,49470.0,5
34.64,24.55,,68.95,49470.0,5
34.953,13.95,,100.0,49470.0,5
35.261,13.95,,100.0,53400.0,5
35.572,14.09,,100.0,53400.0,5
35.898,14.0,,100.0,53400.0,5
36.208,24.52,,76.26,56580.0,5
36.522,24.69,,71.3,56580.0,5
36.833,24.55,,75.5,56580.0,5
37.143,24.67,,72.08,56580.0,5
37.459,24.47,,78.3,50520.0,5
37.773,24.33,,82.69,50520.0,5
38.083,24.45,,79.3,50520.0,5
38.393,24.35,,82.51,51900.0,5
38.704,24.52,,77.6,51900.0,5
39.016,24.69,,72.66,51900.0,5
39.326,24.77,,70.36,50970.0,5
39.634,24.81,,69.47,50970.0,5
39.961,24.89,,67.04,50970.0,5
40.275,24.64,,74.78,50970.0,5
40.583,24.72,,72.38,49050.0,5
40.897,24.59,,76.73,49050.0,5
40.9,24.59,,76.87,49050.0,5
41.208,24.75,,71.93,50250.0,5
41.521,24.77,,71.55,50250.0,5
