Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.007,23.94,,22.0,0.0,0
0.315,23.91,,23.0,0.0,0
0.316,23.93,,23.0,0.0,0
0.628,23.94,,23.0,0.0,0
0.939,23.91,,23.0,0.0,0
1.264,23.91,,23.0,0.0,0
1.574,23.91,,23.0,0.0,0
1.883,23.98,,22.0,0.0,0
2.196,24.03,,22.0,0.0,0
2.509,24.1,,22.0,0.0,0
2.821,24.16,,21.0,0.0,0
3.13,24.15,,21.0,0.0,0
3.439,24.08,,22.0,0.0,0
3.765,24.06,,22.0,0.0,0
4.078,23.99,,22.0,0.0,0
4.387,23.99,,22.0,0.0,0
4.7,23.99,,22.0,0.0,0
5.009,23.99,,23.0,0.0,0
5.322,23.98,,23.0,0.0,0
5.632,23.96,,23.0,0.0,0
5.943,23.99,,23.0,0.0,0
6.252,24.06,,22.0,0.0,0
6.565,24.1,,22.0,0.0,0
6.876,24.1,,22.0,0.0,0
7.203,24.06,,22.0,0.0,0
7.512,24.06,,22.0,0.0,0
7.513,24.11,,22.0,0.0,0
7.823,24.1,,22.0,0.0,0
8.134,24.06,,22.0,0.0,0
8.446,24.06,,22.0,0.0,0
8.759,24.15,,22.0,0.0,0
9.071,24.11,,22.0,0.0,0
9.381,24.18,,22.0,0.0,0
9.691,24.23,,21.0,0.0,0
10.006,24.18,,22.0,0.0,0
10.314,24.16,,22.0,0.0,0
10.626,24.16,,22.0,0.0,0
10.953,24.05,,23.0,0.0,0
11.252,23.99,,23.0,0.0,0
11.577,24.01,,23.0,0.0,0
11.89,23.96,,23.0,0.0,0
12.199,24.03,,23.0,0.0,0
12.506,24.03,,23.0,0.0,0
12.813,24.06,,23.0,0.0,0
13.134,24.15,,22.0,0.0,0
13.446,24.1,,22.0,0.0,0
13.758,24.1,,22.0,0.0,0
14.063,24.13,,22.0,0.0,0
14.381,24.16,,22.0,0.0,0
14.693,24.11,,22.0,0.0,0
15.001,24.13,,22.0,0.0,0
15.326,24.1,,23.0,0.0,0
15.327,23.94,,23.0,0.0,0
15.636,24.03,,23.0,0.0,0
15.947,24.05,,29.0,0.0,0
16.257,24.05,,29.0,0.0,0
16.571,24.08,,34.0,0.0,0
16.883,24.01,,34.0,0.0,0
17.192,23.98,,34.0,0.0,0
17.504,23.98,,34.0,0.0,0
17.813,24.08,,34.0,0.0,0
18.14,24.11,,34.0,0.0,0
18.451,24.21,,33.0,0.0,0
18.761,24.2,,33.0,0.0,0
19.071,24.15,,34.0,0.0,0
19.381,24.15,,34.0,0.0,0
19.693,24.13,,34.0,0.0,0
20.006,24.21,,33.0,0.0,0
20.315,24.2,,33.0,0.0,0
20.627,24.21,,33.0,0.0,0
20.951,24.18,,34.0,0.0,0
21.26,24.1,,34.0,0.0,0
