Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.141,26.05,0,,0.0,0
0.467,26.06,0,,0.0,0
0.77,26.05,0,,0.0,0
1.08,26.08,0,,0.0,0
1.395,26.1,0,,0.0,0
1.711,26.05,0,,0.0,0
2.021,26.01,,0.0,0.0,0
2.335,26.0,,0.0,0.0,0
2.645,25.93,,0.0,0.0,0
2.955,25.96,,0.0,0.0,0
3.281,25.94,,0.0,0.0,0
3.591,25.89,,0.0,0.0,0
3.906,25.93,,0.0,0.0,0
4.216,25.88,,0.0,0.0,0
4.527,25.82,,0.0,0.0,0
4.833,25.79,,0.0,0.0,0
5.144,25.81,,0.0,0.0,0
5.454,25.88,,0.0,0.0,0
5.771,25.86,,0.0,0.0,0
6.083,25.89,,0.0,0.0,0
6.395,25.88,,0.0,0.0,0
6.396,25.81,,0.0,0.0,0
6.706,25.76,,0.0,0.0,0
7.031,25.76,,0.0,0.0,0
7.329,25.81,,0.0,0.0,0
7.655,25.76,,0.0,0.0,0
7.962,25.77,,100.0,0.0,0
8.277,25.67,,100.0,0.0,0
8.58,25.72,,100.0,0.0,0
8.895,25.72,,100.0,0.0,0
9.206,25.79,,100.0,0.0,0
9.518,25.91,,100.0,0.0,0
9.844,25.84,,100.0,0.0,0
10.153,25.86,,100.0,0.0,0
10.462,25.93,,100.0,0.0,0
10.771,25.89,,100.0,0.0,0
11.081,25.91,,100.0,0.0,0
11.392,25.93,,100.0,0.0,0
11.703,25.84,,100.0,0.0,0
12.027,25.98,,100.0,0.0,0
12.337,25.98,,100.0,0.0,0
12.648,25.93,,100.0,0.0,0
12.954,25.98,,100.0,0.0,0
13.281,25.96,,100.0,0.0,0
13.591,26.0,,100.0,0.0,0
13.901,26.12,,100.0,0.0,0
14.213,26.12,,100.0,0.0,0
14.523,26.03,,100.0,0.0,0
14.524,26.01,,100.0,0.0,0
14.833,26.03,,100.0,0.0,0
15.146,26.13,,100.0,0.0,0
15.47,26.12,,100.0,0.0,0
15.795,26.1,,100.0,0.0,0
16.105,26.08,,100.0,0.0,0
16.413,25.93,,100.0,0.0,0
16.724,25.93,,100.0,0.0,0
17.035,25.96,,100.0,0.0,0
17.347,26.0,,100.0,0.0,0
17.672,26.08,,100.0,0.0,0
18.001,26.13,,100.0,0.0,0
18.325,26.08,,100.0,0.0,0
18.637,26.1,,100.0,0.0,0
18.948,26.06,,100.0,0.0,0
19.258,26.1,,100.0,0.0,0
19.567,26.29,,100.0,0.0,0
19.877,26.34,,100.0,0.0,0
20.203,26.37,,100.0,0.0,0
20.515,26.29,,100.0,0.0,0
20.827,26.1,,100.0,0.0,0
21.136,26.08,,100.0,0.0,0
21.445,26.17,,100.0,0.0,0
21.446,26.2,,100.0,0.0,0
21.754,26.3,,100.0,0.0,0
22.066,26.3,,100.0,0.0,0
