Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,21.35,0,0.0,0
0.002,21.33,0,0.0,0
0.264,21.37,0,0.0,0
0.564,21.58,0,0.0,0
0.889,21.57,0,0.0,0
1.201,21.62,0,0.0,0
1.512,21.62,0,0.0,0
1.825,21.63,0,0.0,0
2.137,21.45,0,0.0,0
2.447,21.27,0,0.0,0
2.761,21.18,0,0.0,0
3.073,21.18,0,0.0,0
3.385,21.12,0,0.0,0
3.695,21.2,0,0.0,0
4.006,21.2,0,0.0,0
4.318,21.13,0,0.0,0
4.629,21.12,0,0.0,0
4.941,21.1,0,0.0,0
5.255,21.37,0,0.0,0
5.567,21.37,0,0.0,0
5.876,21.35,0,0.0,0
6.199,21.33,0,0.0,0
6.514,21.33,0,0.0,0
6.814,21.32,0,0.0,0
7.125,21.35,0,0.0,0
7.442,21.25,0,0.0,0
7.757,21.25,0,0.0,0
7.758,21.13,0,0.0,0
8.07,21.08,0,0.0,0
8.38,21.27,0,0.0,0
8.693,21.17,0,0.0,0
9.006,21.17,0,0.0,0
9.317,21.23,0,0.0,0
9.628,21.28,0,0.0,0
9.941,21.35,0,0.0,0
10.252,21.47,0,0.0,0
10.566,21.47,0,0.0,0
10.881,21.4,0,0.0,0
11.197,21.33,0,0.0,0
11.507,21.42,0,0.0,0
11.818,21.45,0,0.0,0
12.13,21.45,0,0.0,0
12.443,21.47,0,0.0,0
12.754,21.35,0,0.0,0
13.066,21.3,0,0.0,0
13.376,21.37,0,0.0,0
13.689,21.3,0,0.0,0
14.005,21.47,0,0.0,0
14.319,21.48,0,0.0,0
14.629,21.4,0,0.0,0
14.942,21.37,0,0.0,0
15.254,21.32,0,0.0,0
15.565,21.35,0,0.0,0
15.565,21.45,0,0.0,0
15.876,21.38,0,0.0,0
16.189,21.28,0,0.0,0
16.502,21.23,0,0.0,0
16.828,21.18,0,0.0,0
17.139,21.28,0,0.0,0
17.439,21.13,0,0.0,0
17.752,21.08,0,0.0,0
18.064,20.92,0,0.0,0
18.389,20.88,0,0.0,0
18.701,21.08,0,0.0,0
19.01,21.13,0,0.0,0
19.322,21.28,0,0.0,0
19.638,21.25,0,0.0,0
19.938,21.23,0,0.0,0
20.252,21.28,0,0.0,0
20.567,21.32,0,0.0,0
20.879,21.33,0,0.0,0
21.192,21.3,0,0.0,0
21.505,21.45,0,0.0,0
21.819,21.53,0,0.0,0
22.129,21.53,0,0.0,0
22.445,21.6,0,0.0,0
22.758,21.5,0,0.0,0
22.759,21.37,0,0.0,0
23.075,21.25,0,0.0,0
23.384,21.2,0,0.0,0
23.692,21.2,0,0.0,0
24.004,21.28,0,0.0,0
24.316,21.32,0,0.0,0
24.626,21.37,0,0.0,0
24.938,21.37,0,0.0,0
25.264,21.32,0,0.0,0
25.576,21.08,0,0.0,0
25.886,21.18,0,0.0,0
26.198,21.03,0,0.0,0
26.509,21.07,0,0.0,0
26.821,21.28,0,0.0,0
27.131,21.2,0,0.0,0
27.441,21.28,0,0.0,0
27.75,21.3,0,0.0,0
28.075,21.23,0,0.0,0
28.384,21.27,0,0.0,0
28.695,21.05,0,0.0,0
29.006,20.97,0,0.0,0
29.317,21.07,0,0.0,0
29.626,20.95,0,0.0,0
29.94,21.08,0,0.0,0
30.251,21.23,0,0.0,0
30.578,21.22,0,0.0,0
30.579,21.42,0,0.0,0
30.893,21.48,0,0.0,0
31.216,21.37,0,0.0,0
31.527,21.38,0,0.0,0
31.839,21.3,0,0.0,0
32.151,21.12,0,0.0,0
32.46,21.08,0,0.0,0
32.774,21.25,0,0.0,0
33.086,21.23,0,0.0,0
33.398,21.3,0,0.0,0
33.708,21.35,0,0.0,0
34.021,21.32,0,0.0,0
34.333,21.38,0,0.0,0
34.647,21.2,0,0.0,0
34.959,21.08,0,0.0,0
35.27,21.02,0,0.0,0
35.583,21.02,0,0.0,0
35.894,21.25,0,0.0,0
36.205,21.45,0,0.0,0
36.531,21.27,0,0.0,0
36.843,21.53,0,0.0,0
37.152,21.52,0,0.0,0
37.464,21.5,0,0.0,0
37.464,21.5,0,0.0,0
37.775,21.38,0,0.0,0
38.091,21.22,0,0.0,0
38.407,21.13,0,0.0,0
