Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.004,22.5,0,,0.0,0
0.28,22.52,0,,0.0,0
0.581,22.68,0,,0.0,0
0.901,22.6,0,,0.0,0
1.212,22.72,0,,0.0,0
1.529,22.6,0,,0.0,0
1.529,22.57,0,,0.0,0
1.838,22.53,0,,0.0,0
2.16,22.43,0,,0.0,0
2.461,22.33,0,,0.0,0
2.775,22.37,0,,0.0,0
3.093,22.35,0,,0.0,0
3.404,22.48,0,,0.0,0
3.721,22.62,0,,0.0,0
4.02,22.45,0,,0.0,0
4.332,22.55,0,,0.0,0
4.659,22.48,0,,0.0,0
4.96,22.58,0,,0.0,0
5.27,22.6,0,,0.0,0
5.588,22.45,0,,0.0,0
5.905,22.42,0,,0.0,0
6.222,22.3,0,,0.0,0
6.523,22.48,0,,0.0,0
6.843,22.62,0,,0.0,0
7.159,22.62,0,,0.0,0
7.467,22.62,0,,0.0,0
7.771,22.7,0,,0.0,0
8.096,22.63,0,,0.0,0
8.404,22.63,0,,0.0,0
8.721,22.53,0,,0.0,0
9.029,22.43,0,,0.0,0
9.029,22.43,0,,0.0,0
9.332,22.57,0,,0.0,0
9.658,22.42,0,,0.0,0
9.972,22.62,0,,0.0,0
10.287,22.8,0,,0.0,0
10.614,22.74,0,,0.0,0
10.924,22.79,0,,0.0,0
11.235,22.85,0,,0.0,0
11.536,22.53,0,,0.0,0
11.853,22.43,0,,0.0,0
12.162,22.47,0,,0.0,0
12.478,22.38,0,,0.0,0
12.8,22.52,0,,0.0,0
13.119,22.47,0,,0.0,0
13.436,22.55,0,,0.0,0
13.751,22.63,0,,0.0,0
14.066,22.65,0,,0.0,0
14.38,22.72,0,,0.0,0
14.695,22.72,0,,0.0,0
15.01,22.77,0,,0.0,0
15.328,22.77,0,,0.0,0
15.332,22.75,0,,0.0,0
15.637,22.79,0,,0.0,0
15.954,22.7,0,,0.0,0
16.262,22.63,0,,0.0,0
16.577,22.62,0,,0.0,0
16.893,22.62,0,,0.0,0
17.203,22.55,0,,0.0,0
17.512,22.57,0,,0.0,0
17.829,22.4,0,,0.0,0
18.129,22.27,0,,0.0,0
18.448,22.27,0,,0.0,0
18.757,22.23,0,,0.0,0
19.073,22.38,0,,0.0,0
19.392,22.45,0,,0.0,0
19.691,22.52,0,,0.0,0
20.011,22.57,0,,0.0,0
20.322,22.65,0,,0.0,0
20.637,22.75,0,,0.0,0
20.946,22.84,0,,0.0,0
21.255,22.82,0,,0.0,0
21.579,22.79,0,,0.0,0
21.888,22.72,0,,0.0,0
22.198,22.55,0,,0.0,0
22.508,22.62,0,,0.0,0
22.825,22.58,0,,0.0,0
22.827,22.6,0,,0.0,0
23.135,22.47,0,,0.0,0
23.446,22.5,0,,0.0,0
23.767,22.28,0,,0.0,0
24.068,22.43,0,,0.0,0
24.385,22.48,0,,0.0,0
24.694,22.5,0,,0.0,0
25.005,23.02,0,,0.0,0
25.329,22.87,0,,0.0,0
25.638,22.84,0,,0.0,0
25.956,22.9,0,,0.0,0
26.267,22.57,0,,0.0,0
26.583,22.53,0,,0.0,0
26.902,22.5,0,,0.0,0
27.218,22.47,0,,0.0,0
27.52,22.53,0,,0.0,0
27.837,22.62,0,,0.0,0
28.148,22.55,0,,0.0,0
28.465,22.58,0,,0.0,0
28.781,22.62,0,,0.0,0
29.081,22.7,0,,0.0,0
29.4,22.63,0,,0.0,0
29.718,22.63,0,,0.0,0
30.035,22.52,0,,0.0,0
30.035,22.32,0,,0.0,0
30.352,22.45,0,,0.0,0
30.66,22.63,0,,0.0,0
30.978,22.6,0,,0.0,0
31.292,22.75,0,,0.0,0
31.604,22.75,0,,0.0,0
31.912,22.7,0,,0.0,0
32.228,22.55,0,,0.0,0
32.536,22.3,0,,0.0,0
32.863,22.38,0,,0.0,0
33.189,22.37,0,,0.0,0
33.5,22.5,0,,0.0,0
33.809,22.77,0,,0.0,0
34.125,22.68,0,,0.0,0
34.427,22.63,0,,0.0,0
34.743,22.67,0,,0.0,0
35.05,22.58,0,,0.0,0
35.372,22.68,0,,0.0,0
35.687,22.55,0,,0.0,0
35.995,22.43,0,,0.0,0
36.303,22.53,0,,0.0,0
36.628,22.55,0,,0.0,0
36.632,22.65,0,,0.0,0
36.943,22.9,0,,0.0,0
37.26,22.85,0,,0.0,0
37.567,22.82,0,,0.0,0
37.892,22.7,0,,0.0,0
38.199,22.97,0,,0.0,0
38.507,23.05,0,,0.0,0
38.824,23.0,0,,0.0,0
39.132,22.97,0,,0.0,0
39.449,22.65,0,,0.0,0
39.756,22.48,0,,0.0,0
40.072,22.45,0,,0.0,0
40.395,22.08,0,,0.0,0
40.713,22.29,0,,0.0,0
41.02,22.35,0,,0.0,0
41.337,22.05,0,,0.0,0
41.648,22.57,0,,0.0,0
41.959,22.4,0,,0.0,0
42.271,22.33,0,,0.0,0
42.587,22.79,0,,0.0,0
42.906,22.74,0,,0.0,0
43.212,22.85,0,,0.0,0
43.52,22.84,0,,0.0,0
43.522,22.52,0,,0.0,0
43.838,22.45,0,,0.0,0
44.153,22.38,0,,0.0,0
44.463,22.47,0,,0.0,0
44.785,22.52,0,,0.0,0
45.099,22.48,0,,0.0,0
45.422,22.67,0,,0.0,0
45.725,22.67,0,,0.0,0
46.044,22.64,0,,0.0,0
46.357,22.72,0,,0.0,0
46.665,22.67,0,,0.0,0
46.986,22.55,0,,0.0,0
47.292,22.87,0,,0.0,0
47.603,22.77,0,,0.0,0
47.91,22.84,0,,0.0,0
48.229,22.87,0,,0.0,0
48.542,22.73,0,,0.0,0
48.849,22.87,0,,0.0,0
49.164,22.65,0,,0.0,0
49.478,22.77,0,,0.0,0
49.787,22.74,0,,0.0,0
50.104,22.57,0,,0.0,0
50.412,22.55,0,,0.0,0
50.729,22.57,0,,0.0,0
50.732,22.67,0,,0.0,0
51.037,22.72,0,,0.0,0
51.351,22.73,0,,0.0,0
51.667,22.63,0,,0.0,0
51.975,22.65,0,,0.0,0
52.29,22.62,0,,0.0,0
52.599,22.55,0,,0.0,0
52.911,22.53,0,,0.0,0
53.227,22.45,0,,0.0,0
53.54,22.53,0,,0.0,0
53.856,22.57,0,,0.0,0
54.17,22.6,0,,0.0,0
54.484,22.57,0,,0.0,0
54.789,22.62,0,,0.0,0
55.103,22.6,0,,0.0,0
55.418,22.68,0,,0.0,0
55.728,22.77,0,,0.0,0
56.037,22.77,0,,0.0,0
56.355,22.77,0,,0.0,0
56.664,22.7,0,,0.0,0
56.988,22.89,0,,0.0,0
57.304,22.67,0,,0.0,0
57.629,22.67,0,,0.0,0
57.629,22.64,0,,0.0,0
57.956,22.17,0,,0.0,0
58.256,22.4,0,,0.0,0
58.573,22.12,0,,0.0,0
58.881,22.32,0,,0.0,0
59.201,22.53,0,,0.0,0
59.51,22.65,0,,0.0,0
59.825,22.9,0,,0.0,0
60.134,22.8,0,,0.0,0
60.45,22.85,0,,0.0,0
60.762,22.79,0,,0.0,0
61.07,22.62,0,,0.0,0
61.379,22.53,0,,0.0,0
61.704,22.53,0,,0.0,0
62.013,22.4,0,,0.0,0
62.321,22.75,0,,0.0,0
62.629,22.8,0,,0.0,0
62.954,22.8,0,,0.0,0
63.269,22.79,0,,0.0,0
63.585,22.35,0,,0.0,0
63.895,22.33,0,,0.0,0
64.22,22.45,0,,0.0,0
64.22,22.68,0,,0.0,0
64.835,22.73,0,,0.0,0
64.836,22.7,0,,0.0,0
65.159,22.6,0,,0.0,0
65.458,22.6,0,,0.0,0
65.777,22.75,0,,0.0,0
66.086,22.7,0,,0.0,0
66.403,22.62,0,,0.0,0
66.71,22.67,0,,0.0,0
67.034,22.58,0,,0.0,0
67.345,22.85,0,,0.0,0
