Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada,Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.002,39.24,0,,0.0,0
0.003,39.24,0,,0.0,0
0.277,39.26,0,,0.0,0
0.59,39.24,0,,0.0,0
0.9,39.22,0,,0.0,0
1.209,39.22,0,,0.0,0
1.524,39.22,0,,0.0,0
1.834,39.24,0,,0.0,0
2.147,39.24,0,,0.0,0
2.46,39.24,0,,0.0,0
2.772,39.24,0,,0.0,0
3.086,39.24,1,,0.0,0
3.396,39.24,77,,0.0,0
3.709,39.22,100,,0.0,0
4.022,39.24,74,,0.0,0
4.334,39.22,0,,10.8,0
4.646,39.22,0,,10.8,0
4.974,39.24,0,,10.8,0
5.271,39.24,0,,22.86,32
5.899,39.26,0,,22.86,100
6.208,39.26,0,,22.86,73
6.521,39.26,0,,22.86,9
7.146,39.26,0,,22.86,0
7.459,39.24,0,,22.86,0
7.772,39.26,0,0.0,22.86,0
8.098,39.24,0,0.0,22.86,0
8.398,39.24,0,0.0,22.86,0
8.721,39.24,0,0.0,22.86,0
9.028,39.26,0,0.0,22.86,0
9.348,39.24,0,0.0,22.86,0
9.656,39.26,0,0.0,12.06,0
9.969,39.26,0,0.0,12.06,0
10.281,39.26,0,0.0,12.06,0
10.593,39.26,0,0.0,0.0,0
10.904,39.26,0,0.0,0.0,0
11.214,39.26,0,0.0,0.0,0
11.525,39.24,0,0.0,0.0,0
11.526,39.24,0,0.0,0.0,0
11.839,39.22,0,0.0,0.0,0
12.153,39.22,0,0.0,0.0,0
12.464,39.24,0,0.0,0.0,0
12.773,39.24,0,0.0,0.0,0
13.086,39.26,0,0.0,0.0,0
13.398,39.26,0,0.0,0.0,0
13.711,39.26,0,0.0,0.0,0
14.023,39.26,0,0.0,0.0,0
14.335,39.26,0,0.0,0.0,0
14.646,39.26,0,0.0,0.0,0
14.959,39.26,0,0.0,0.0,0
15.271,39.26,0,,0.0,0
15.589,39.26,0,,0.0,0
15.897,39.26,35,,0.0,0
16.214,39.26,80,,0.0,0
16.526,39.26,80,,15.6,0
16.838,39.26,80,,15.6,0
17.146,39.28,80,0.0,15.6,0
17.46,39.28,80,0.0,15.6,0
17.771,39.26,80,0.0,54.0,0
18.099,39.26,80,0.0,54.0,0
18.412,39.22,80,0.0,54.0,0
18.739,39.22,80,0.0,54.0,0
18.74,39.22,80,0.0,54.0,0
19.051,39.2,80,0.0,54.0,0
19.364,39.22,80,0.0,54.0,0
19.662,39.2,80,0.0,54.0,0
19.975,39.22,80,0.0,54.0,0
20.288,39.24,80,0.0,54.0,0
20.6,39.24,80,0.0,54.0,0
20.914,39.24,80,0.0,54.0,0
21.225,39.24,80,0.0,54.0,0
