Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.002,22.05,0,,0.0,0
0.261,22.05,0,,0.0,0
0.575,21.93,0,,0.0,0
0.88,22.0,0,,0.0,0
1.199,22.07,0,,0.0,0
1.513,22.07,0,,0.0,0
1.825,22.17,0,,0.0,0
2.138,22.1,0,,0.0,0
2.449,22.02,0,,0.0,0
2.76,22.02,0,,0.0,0
3.071,22.03,0,,0.0,0
3.383,22.08,0,,0.0,0
3.694,22.18,0,,0.0,0
4.007,22.13,0,,0.0,0
4.319,22.13,0,,0.0,0
4.63,22.08,0,,0.0,0
4.941,22.07,0,,0.0,0
4.942,22.08,0,,0.0,0
5.268,22.08,0,,0.0,0
5.578,22.13,0,,0.0,0
5.889,22.08,0,,0.0,0
6.201,22.1,0,,0.0,0
6.512,22.05,0,,0.0,0
6.819,21.95,0,,0.0,0
7.13,21.95,0,,0.0,0
7.442,21.93,0,,0.0,0
7.768,22.0,0,,0.0,0
8.079,22.03,0,,0.0,0
8.391,22.07,0,,0.0,0
8.703,22.08,0,,0.0,0
9.015,22.03,0,,0.0,0
9.324,22.08,0,,0.0,0
9.637,22.13,0,,0.0,0
9.947,22.0,0,,0.0,0
10.259,21.98,0,,0.0,0
10.569,21.92,0,,0.0,0
10.882,21.92,0,,0.0,0
11.193,21.97,0,,0.0,0
11.505,21.93,0,,0.0,0
11.83,21.93,0,,0.0,0
12.141,21.95,0,,0.0,0
12.442,21.78,0,,0.0,0
12.756,21.82,0,,0.0,0
13.07,21.93,0,,0.0,0
13.071,21.95,0,,0.0,0
13.385,22.07,0,,0.0,0
13.699,22.12,0,,0.0,0
14.014,22.07,0,,0.0,0
14.329,22.03,0,,0.0,0
14.644,22.1,0,,0.0,0
14.961,22.05,0,,0.0,0
15.274,22.02,0,,0.0,0
15.587,21.93,0,,0.0,0
15.901,21.77,0,,0.0,0
16.215,21.85,0,,0.0,0
16.531,21.83,0,,0.0,0
16.846,21.9,0,,0.0,0
17.146,22.0,0,,0.0,0
17.459,22.08,0,,0.0,0
17.774,22.02,0,,0.0,0
18.089,22.05,0,,0.0,0
18.403,22.13,0,,0.0,0
18.719,22.18,0,,0.0,0
19.035,22.07,0,,0.0,0
19.349,22.0,0,,0.0,0
19.665,21.95,0,,0.0,0
19.981,22.03,0,,0.0,0
20.295,22.07,0,,0.0,0
20.296,22.2,0,,0.0,0
20.611,22.18,0,,0.0,0
20.913,22.07,0,,0.0,0
21.229,22.15,0,,0.0,0
21.546,22.08,0,,0.0,0
21.862,22.08,0,,0.0,0
22.162,22.18,0,,0.0,0
22.479,22.13,0,,0.0,0
22.794,22.02,0,,0.0,0
23.109,22.03,0,,0.0,0
23.424,21.8,0,,0.0,0
23.724,21.93,0,,0.0,0
24.039,22.03,0,,0.0,0
24.354,22.07,0,,0.0,0
24.667,22.3,0,,0.0,0
24.981,22.2,0,,0.0,0
25.293,22.3,0,,0.0,0
25.602,22.32,0,,0.0,0
25.917,22.45,0,,0.0,0
26.233,22.23,0,,0.0,0
26.545,22.45,0,,0.0,0
26.857,22.4,0,,0.0,0
27.17,22.38,0,,0.0,0
27.481,22.43,0,,0.0,0
27.793,22.13,0,,0.0,0
28.105,22.13,0,,0.0,0
28.417,22.13,0,,0.0,0
28.728,22.18,0,,0.0,0
28.729,22.02,0,,0.0,0
29.04,21.97,0,,0.0,0
29.353,21.92,0,,0.0,0
29.663,21.92,0,,0.0,0
29.976,22.0,0,,0.0,0
30.289,21.97,0,,0.0,0
30.6,21.9,0,,0.0,0
30.913,21.88,0,,0.0,0
31.225,21.93,0,,0.0,0
31.539,22.03,0,,0.0,0
31.85,21.98,0,,0.0,0
32.162,21.7,0,,0.0,0
32.473,21.82,0,,0.0,0
32.799,21.8,0,,0.0,0
33.113,21.88,0,,0.0,0
33.439,21.9,0,,0.0,0
33.752,22.02,0,,0.0,0
34.063,21.97,0,,0.0,0
34.376,22.0,0,,0.0,0
34.687,22.05,0,,0.0,0
35.002,21.98,0,,0.0,0
35.3,22.03,0,,0.0,0
35.613,22.23,0,,0.0,0
35.929,22.13,0,,0.0,0
36.243,22.1,0,,0.0,0
36.555,22.2,0,,0.0,0
36.556,22.02,0,,0.0,0
