Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.09,22.48,0,0.0,0
0.4,22.53,0,0.0,0
0.711,22.28,0,0.0,0
1.02,22.35,0,0.0,0
1.332,22.33,0,0.0,0
1.658,22.28,0,0.0,0
1.971,22.52,0,0.0,0
1.971,22.45,0,0.0,0
2.296,22.47,0,0.0,0
2.609,22.48,0,0.0,0
2.92,22.43,0,0.0,0
3.228,22.42,0,0.0,0
3.539,22.43,0,0.0,0
3.85,22.37,0,0.0,0
4.161,22.43,0,0.0,0
4.473,22.6,0,0.0,0
4.787,22.53,0,0.0,0
5.105,22.53,0,0.0,0
5.419,22.5,0,0.0,0
5.734,22.48,0,0.0,0
6.035,22.47,0,0.0,0
6.348,22.53,0,0.0,0
6.659,22.72,0,0.0,0
6.985,22.62,0,0.0,0
7.295,22.67,0,0.0,0
7.605,22.42,0,0.0,0
7.916,22.27,0,0.0,0
8.232,22.27,0,0.0,0
8.541,22.15,0,0.0,0
8.85,22.17,0,0.0,0
9.161,21.97,0,0.0,0
9.474,22.12,0,0.0,0
9.475,22.25,0,0.0,0
9.784,22.47,0,0.0,0
10.097,22.73,0,0.0,0
10.409,22.65,0,0.0,0
10.722,22.43,0,0.0,0
11.037,22.58,0,0.0,0
11.347,22.6,0,0.0,0
11.66,22.6,0,0.0,0
11.973,22.72,0,0.0,0
12.298,22.6,0,0.0,0
12.596,22.48,0,0.0,0
12.923,22.53,0,0.0,0
13.232,22.57,0,0.0,0
13.541,22.55,0,0.0,0
13.853,22.57,0,0.0,0
14.166,22.57,0,0.0,0
14.476,22.47,0,0.0,0
14.789,22.48,0,0.0,0
15.1,22.55,0,0.0,0
15.412,22.47,0,0.0,0
15.723,22.5,0,0.0,0
16.048,22.4,0,0.0,0
16.359,22.38,0,0.0,0
16.669,22.45,0,0.0,0
16.98,22.43,0,0.0,0
16.981,22.48,0,0.0,0
17.291,22.52,0,0.0,0
17.603,22.68,0,0.0,0
17.915,22.68,0,0.0,0
18.223,22.62,0,0.0,0
18.534,22.62,0,0.0,0
18.862,22.48,0,0.0,0
19.187,22.55,0,0.0,0
19.499,22.52,0,0.0,0
19.809,22.57,0,0.0,0
20.123,22.3,0,0.0,0
20.434,22.27,0,0.0,0
20.745,22.43,0,0.0,0
21.057,22.5,0,0.0,0
21.366,22.47,0,0.0,0
21.677,22.52,0,0.0,0
21.987,22.35,0,0.0,0
22.314,22.32,0,0.0,0
22.625,22.45,0,0.0,0
22.937,22.48,0,0.0,0
23.247,22.47,0,0.0,0
23.56,22.57,0,0.0,0
23.873,22.72,0,0.0,0
23.873,22.75,0,0.0,0
24.182,22.77,0,0.0,0
24.491,22.75,0,0.0,0
24.804,22.57,0,0.0,0
25.112,22.43,0,0.0,0
25.439,22.28,0,0.0,0
25.752,22.27,0,0.0,0
26.064,22.37,0,0.0,0
26.375,22.45,0,0.0,0
26.689,22.57,0,0.0,0
26.998,22.53,0,0.0,0
27.309,22.57,0,0.0,0
27.62,22.67,0,0.0,0
27.931,22.68,0,0.0,0
28.242,22.63,0,0.0,0
28.553,22.57,0,0.0,0
28.864,22.52,0,0.0,0
29.175,22.38,0,0.0,0
29.501,22.42,0,0.0,0
29.81,22.38,0,0.0,0
30.12,22.43,0,0.0,0
30.433,22.47,0,0.0,0
30.744,22.28,0,0.0,0
31.058,22.32,0,0.0,0
31.366,22.05,0,0.0,0
31.68,21.95,0,0.0,0
31.681,22.13,0,0.0,0
31.991,22.4,0,0.0,0
32.304,22.63,0,0.0,0
32.616,22.48,0,0.0,0
32.928,22.57,0,0.0,0
33.239,22.33,0,0.0,0
33.552,22.28,0,0.0,0
33.865,22.58,0,0.0,0
34.175,22.62,0,0.0,0
34.499,22.7,0,0.0,0
34.808,22.6,0,0.0,0
35.119,22.52,0,0.0,0
35.429,22.38,0,0.0,0
35.743,22.28,0,0.0,0
36.056,22.52,0,0.0,0
36.366,22.48,0,0.0,0
36.681,22.68,0,0.0,0
36.994,22.72,0,0.0,0
37.309,22.55,0,0.0,0
37.62,22.5,0,0.0,0
37.929,22.42,0,0.0,0
38.243,22.52,0,0.0,0
38.551,22.52,0,0.0,0
38.864,22.58,0,0.0,0
39.174,22.67,0,0.0,0
39.175,22.62,0,0.0,0
39.5,22.47,0,0.0,0
39.81,22.47,0,0.0,0
40.122,22.45,0,0.0,0
40.434,22.47,0,0.0,0
40.747,22.42,0,0.0,0
41.056,22.45,0,0.0,0
41.367,22.4,0,0.0,0
41.676,22.45,0,0.0,0
41.99,22.27,0,0.0,0
42.3,22.18,0,0.0,0
42.613,22.08,0,0.0,0
42.925,22.02,0,0.0,0
43.252,22.23,0,0.0,0
43.564,22.18,0,0.0,0
43.876,22.18,0,0.0,0
44.187,22.17,0,0.0,0
44.498,22.27,0,0.0,0
44.81,22.38,0,0.0,0
45.123,22.47,0,0.0,0
45.434,22.58,0,0.0,0
45.745,22.43,0,0.0,0
46.055,22.37,0,0.0,0
46.367,22.4,0,0.0,0
46.677,22.4,0,0.0,0
46.678,22.33,0,0.0,0
46.989,22.32,0,0.0,0
47.302,22.18,0,0.0,0
47.614,22.22,0,0.0,0
47.939,22.18,0,0.0,0
48.247,22.22,0,0.0,0
48.56,22.3,0,0.0,0
48.872,22.27,0,0.0,0
49.181,22.28,0,0.0,0
49.494,22.33,0,0.0,0
49.806,22.52,0,0.0,0
50.118,22.72,0,0.0,0
50.43,22.79,0,0.0,0
50.743,22.77,0,0.0,0
51.052,22.62,0,0.0,0
51.363,22.48,0,0.0,0
51.674,22.38,0,0.0,0
52.001,22.38,0,0.0,0
52.312,22.3,0,0.0,0
52.622,22.52,0,0.0,0
52.932,22.48,0,0.0,0
53.245,22.3,0,0.0,0
53.557,22.33,0,0.0,0
53.869,22.23,0,0.0,0
53.87,22.18,0,0.0,0
54.178,22.28,0,0.0,0
54.489,22.52,0,0.0,0
54.803,22.57,0,0.0,0
55.113,22.6,0,0.0,0
55.438,22.53,0,0.0,0
55.747,22.55,0,0.0,0
56.058,22.12,0,0.0,0
56.37,22.17,0,0.0,0
56.682,22.22,0,0.0,0
56.991,22.42,0,0.0,0
57.301,22.58,0,0.0,0
57.614,22.79,0,0.0,0
57.939,22.77,0,0.0,0
58.252,22.52,0,0.0,0
58.561,22.53,0,0.0,0
58.876,22.33,0,0.0,0
59.184,22.17,0,0.0,0
59.496,22.17,0,0.0,0
59.806,22.08,0,0.0,0
60.118,22.17,0,0.0,0
60.43,22.37,0,0.0,0
60.742,22.25,0,0.0,0
61.052,22.18,0,0.0,0
61.363,22.2,0,0.0,0
61.689,22.13,0,0.0,0
61.69,22.3,0,0.0,0
62.001,22.45,0,0.0,0
62.31,22.37,0,0.0,0
62.621,22.37,0,0.0,0
62.931,22.37,0,0.0,0
63.242,22.38,0,0.0,0
63.554,22.35,0,0.0,0
63.864,22.4,0,0.0,0
64.19,22.38,0,0.0,0
64.503,22.33,0,0.0,0
64.815,22.32,0,0.0,0
65.139,22.33,0,0.0,0
65.449,22.37,0,0.0,0
65.763,22.4,0,0.0,0
66.071,22.52,0,0.0,0
66.383,22.42,0,0.0,0
66.694,22.5,0,0.0,0
67.006,22.6,0,0.0,0
67.32,22.5,0,0.0,0
67.635,22.63,0,0.0,0
67.949,22.65,0,0.0,0
68.264,22.33,0,0.0,0
68.58,22.17,0,0.0,0
68.58,22.12,0,0.0,0
68.893,22.02,0,0.0,0
69.22,22.2,0,0.0,0
69.529,22.25,0,0.0,0
69.842,22.25,0,0.0,0
70.155,22.25,0,0.0,0
70.466,22.2,0,0.0,0
70.779,22.18,0,0.0,0
71.09,22.27,0,0.0,0
71.401,22.35,0,0.0,0
71.713,22.33,0,0.0,0
72.024,22.28,0,0.0,0
72.336,22.3,0,0.0,0
72.645,22.28,0,0.0,0
72.957,22.27,0,0.0,0
73.268,22.32,0,0.0,0
73.592,22.33,0,0.0,0
73.903,22.3,0,0.0,0
74.214,22.43,0,0.0,0
74.528,22.43,0,0.0,0
74.838,22.48,0,0.0,0
75.148,22.53,0,0.0,0
75.459,22.42,0,0.0,0
75.77,22.4,0,0.0,0
75.771,22.37,0,0.0,0
76.082,22.35,0,0.0,0
76.396,22.3,0,0.0,0
76.72,22.27,0,0.0,0
77.029,22.35,0,0.0,0
77.338,22.37,0,0.0,0
77.652,22.37,0,0.0,0
77.965,22.4,0,0.0,0
78.276,22.37,0,0.0,0
78.59,22.35,0,0.0,0
78.902,22.45,0,0.0,0
79.213,22.43,0,0.0,0
79.523,22.42,0,0.0,0
79.835,22.35,0,0.0,0
80.147,22.32,0,0.0,0
80.459,22.38,0,0.0,0
80.77,22.23,0,0.0,0
81.083,22.37,0,0.0,0
81.408,22.38,0,0.0,0
81.719,22.15,0,0.0,0
82.031,22.3,0,0.0,0
82.341,22.1,0,0.0,0
82.653,22.12,0,0.0,0
82.966,22.3,0,0.0,0
83.279,22.27,0,0.0,0
83.28,22.3,0,0.0,0
83.591,22.2,0,0.0,0
83.903,22.2,0,0.0,0
84.207,22.2,0,0.0,0
84.523,22.13,0,0.0,0
84.831,22.22,0,0.0,0
85.144,22.18,0,0.0,0
85.468,22.18,0,0.0,0
85.772,22.23,2,0.0,0
86.091,22.55,2,0.0,0
86.402,22.65,3,0.0,0
86.715,22.6,5,0.0,0
87.028,22.77,7,0.0,0
87.34,22.58,9,0.0,0
87.649,22.45,11,0.0,0
87.959,22.65,13,0.0,0
88.268,22.5,15,0.0,0
88.59,22.58,17,0.0,0
88.905,22.67,19,0.0,0
89.216,22.6,20,0.0,0
89.526,22.63,20,0.0,0
89.836,22.57,20,0.0,0
90.149,22.62,20,0.0,0
90.458,22.68,20,0.0,0
90.77,22.92,20,0.0,0
90.771,22.95,20,0.0,0
91.083,22.79,20,0.0,0
91.394,22.6,20,0.0,0
91.705,22.4,20,0.0,0
92.033,22.32,20,0.0,0
92.344,22.35,20,0.0,0
92.657,22.37,20,0.0,0
92.967,22.33,20,0.0,0
93.28,22.32,20,0.0,0
93.591,22.35,20,0.0,0
93.901,22.45,20,0.0,0
94.212,22.4,20,0.0,0
94.525,22.5,20,0.0,0
94.836,22.48,20,0.0,0
95.148,22.48,20,0.0,0
95.461,22.67,20,0.0,0
95.771,22.58,20,0.0,0
96.084,22.57,20,0.0,0
96.394,22.53,20,0.0,0
96.721,22.4,20,0.0,0
97.049,22.4,20,0.0,0
97.359,22.23,20,0.0,0
97.672,22.17,20,0.0,0
97.673,22.27,20,0.0,0
97.983,22.2,20,0.0,0
98.293,22.32,20,0.0,0
98.605,22.33,20,0.0,0
98.919,22.2,20,0.0,0
99.233,22.38,20,0.0,0
99.547,22.52,20,0.0,0
99.861,22.35,20,0.0,0
100.172,22.32,20,0.0,0
100.486,22.17,20,0.0,0
100.797,22.13,20,0.0,0
101.108,22.25,20,0.0,0
101.418,22.33,20,0.0,0
101.73,22.45,20,0.0,0
102.041,22.45,20,0.0,0
102.351,22.47,20,0.0,0
102.661,22.23,20,0.0,0
102.971,22.08,20,0.0,0
103.3,21.97,20,0.0,0
103.613,21.87,20,0.0,0
103.939,21.93,20,0.0,0
104.249,22.17,20,0.0,0
104.561,22.35,20,0.0,0
104.873,22.32,20,0.0,0
104.874,22.37,20,0.0,0
105.184,22.32,20,0.0,0
105.494,22.15,20,0.0,0
105.805,22.08,20,0.0,0
106.114,22.08,20,0.0,0
106.44,22.02,20,0.0,0
106.765,21.97,20,0.0,0
107.08,22.3,20,0.0,0
107.392,22.1,20,0.0,0
107.701,22.23,20,0.0,0
108.013,22.32,20,0.0,0
108.324,22.27,20,0.0,0
108.633,22.38,20,0.0,0
108.944,22.4,20,0.0,0
109.254,22.35,20,0.0,0
109.567,22.3,20,0.0,0
109.892,22.25,20,0.0,0
110.192,22.17,20,0.0,0
110.504,22.22,20,0.0,0
110.83,22.27,20,0.0,0
111.14,22.2,20,0.0,0
111.452,22.22,20,0.0,0
111.767,22.3,20,0.0,0
111.768,22.38,20,0.0,0
112.08,22.65,20,0.0,0
112.388,22.75,20,0.0,0
112.696,22.77,20,0.0,0
113.008,22.58,20,0.0,0
113.317,22.4,20,0.0,0
113.629,22.3,20,0.0,0
113.954,22.33,20,0.0,0
114.263,22.45,20,0.0,0
114.575,22.38,20,0.0,0
114.888,22.33,20,0.0,0
115.194,22.4,20,0.0,0
115.504,22.32,20,0.0,0
115.818,22.3,20,0.0,0
116.13,22.37,20,0.0,0
116.442,22.27,20,0.0,0
116.753,22.37,20,0.0,0
117.08,22.33,20,0.0,0
117.39,22.27,20,0.0,0
117.702,22.27,20,0.0,0
118.014,22.13,20,0.0,0
118.322,22.22,20,0.0,0
118.634,22.27,20,0.0,0
118.945,22.33,20,0.0,0
119.259,22.47,20,0.0,0
119.567,22.43,20,0.0,0
119.568,22.42,20,0.0,0
119.892,22.43,20,0.0,0
120.201,22.53,20,0.0,0
120.515,22.57,20,0.0,0
120.83,22.53,20,0.0,0
121.141,22.52,20,0.0,0
121.453,22.5,20,0.0,0
121.761,22.35,20,0.0,0
122.07,22.33,20,0.0,0
122.382,22.25,20,0.0,0
122.692,22.15,20,0.0,0
123.002,22.4,20,0.0,0
123.329,22.42,20,0.0,0
123.64,22.47,20,0.0,0
123.95,22.65,20,0.0,0
124.262,22.4,20,0.0,0
124.573,22.42,20,0.0,0
124.886,22.47,20,0.0,0
125.195,22.3,20,0.0,0
125.506,22.37,20,0.0,0
125.819,22.33,20,0.0,0
126.13,22.35,20,0.0,0
126.441,22.35,20,0.0,0
126.767,22.35,20,0.0,0
126.768,22.38,20,0.0,0
127.081,22.43,20,0.0,0
127.407,22.8,20,0.0,0
127.718,22.8,20,0.0,0
128.03,22.6,20,0.0,0
128.341,22.55,20,0.0,0
128.654,22.3,20,0.0,0
128.967,22.42,20,0.0,0
129.279,22.47,20,0.0,0
129.593,22.64,20,0.0,0
129.904,22.48,20,0.0,0
130.219,22.42,20,0.0,0
130.518,22.48,20,0.0,0
130.835,22.33,20,0.0,0
131.15,22.62,20,0.0,0
131.462,22.63,20,0.0,0
131.771,22.37,20,0.0,0
132.081,22.47,20,0.0,0
132.395,22.42,20,0.0,0
132.707,22.37,20,0.0,0
133.018,22.57,20,0.0,0
133.331,22.55,20,0.0,0
133.657,22.65,20,0.0,0
133.971,22.6,20,0.0,0
133.972,22.55,20,0.0,0
134.298,22.47,20,0.0,0
134.608,22.45,20,0.0,0
134.921,22.52,20,0.0,0
135.233,22.6,20,0.0,0
135.547,22.3,20,0.0,0
135.86,22.27,20,0.0,0
136.171,22.37,20,0.0,0
136.483,22.4,20,0.0,0
136.795,22.42,20,0.0,0
137.105,22.79,20,0.0,0
137.418,22.84,20,0.0,0
137.727,22.67,20,0.0,0
138.039,22.75,20,0.0,0
138.349,22.72,20,0.0,0
138.662,22.53,20,0.0,0
138.974,22.57,20,0.0,0
139.285,22.72,20,0.0,0
139.596,22.87,20,0.0,0
139.923,23.0,20,0.0,0
140.234,23.02,20,0.0,0
140.546,22.84,20,0.0,0
140.858,22.62,20,0.0,0
141.17,22.45,20,0.0,0
141.171,22.42,20,0.0,0
141.482,22.18,20,0.0,0
141.796,22.18,20,0.0,0
142.105,22.1,20,0.0,0
142.416,22.03,20,0.0,0
142.727,22.13,20,0.0,0
143.04,22.08,20,0.0,0
143.349,22.23,20,0.0,0
143.661,22.5,20,0.0,0
143.971,22.47,20,0.0,0
144.299,22.65,20,0.0,0
144.609,22.57,20,0.0,0
144.923,22.52,20,0.0,0
145.235,22.62,20,0.0,0
145.546,22.58,20,0.0,0
145.858,22.5,20,0.0,0
146.169,22.48,20,0.0,0
146.479,22.45,20,0.0,0
146.79,22.42,20,0.0,0
147.101,22.45,20,0.0,0
147.411,22.3,20,0.0,0
147.722,22.42,20,0.0,0
148.049,22.32,20,0.0,0
148.36,22.35,20,0.0,0
148.671,22.28,20,0.0,0
148.672,22.33,20,0.0,0
148.984,22.55,20,0.0,0
149.284,22.47,20,0.0,0
149.611,22.63,20,0.0,0
149.921,22.63,20,0.0,0
150.236,22.5,20,0.0,0
150.549,22.45,20,0.0,0
150.849,22.69,20,0.0,0
151.161,22.64,20,0.0,0
151.472,22.77,20,0.0,0
151.784,22.77,20,0.0,0
152.111,22.58,20,0.0,0
152.422,22.65,20,0.0,0
152.735,22.65,20,0.0,0
153.047,22.62,20,0.0,0
153.354,22.6,20,0.0,0
153.672,22.53,20,0.0,0
153.986,22.5,20,0.0,0
154.296,22.72,20,0.0,0
154.606,22.79,20,0.0,0
154.918,22.79,20,0.0,0
155.233,22.63,20,0.0,0
155.546,22.52,20,0.0,0
155.858,22.45,20,0.0,0
156.169,22.58,20,0.0,0
156.17,22.57,20,0.0,0
156.481,22.58,20,0.0,0
156.794,22.63,20,0.0,0
157.107,22.53,20,0.0,0
157.419,22.63,20,0.0,0
157.731,22.58,20,0.0,0
158.04,22.55,20,0.0,0
158.352,22.67,20,0.0,0
158.664,22.63,20,0.0,0
158.978,22.68,20,0.0,0
159.291,22.53,20,0.0,0
159.606,22.75,20,0.0,0
159.919,22.77,20,0.0,0
160.233,22.75,20,0.0,0
160.547,22.99,20,0.0,0
160.858,22.87,20,0.0,0
161.17,22.82,20,0.0,0
161.482,22.68,20,0.0,0
161.796,22.5,20,0.0,0
162.109,22.47,20,0.0,0
162.422,22.5,20,0.0,0
162.733,22.5,20,0.0,0
163.044,22.58,20,0.0,0
163.354,22.67,20,0.0,0
163.666,22.65,20,0.0,0
163.667,22.75,20,0.0,0
163.979,22.82,20,0.0,0
164.291,22.62,20,0.0,0
164.604,22.6,20,0.0,0
164.916,22.5,20,0.0,0
165.229,22.45,20,0.0,0
165.539,22.65,20,0.0,0
165.849,22.74,20,0.0,0
166.174,22.8,20,0.0,0
166.474,22.79,20,0.0,0
166.784,22.63,20,0.0,0
167.096,22.65,20,0.0,0
167.423,22.75,20,0.0,0
167.736,22.94,20,0.0,0
168.036,22.85,20,0.0,0
168.358,22.82,20,0.0,0
168.67,22.65,20,0.0,0
168.981,22.4,20,0.0,0
169.292,22.48,20,0.0,0
169.604,22.62,20,0.0,0
169.909,22.63,20,0.0,0
170.229,22.48,20,0.0,0
170.541,22.53,20,0.0,0
170.855,22.53,20,0.0,0
171.169,22.35,20,0.0,0
171.17,22.3,20,0.0,0
171.48,22.38,20,0.0,0
171.794,22.28,20,0.0,0
172.103,22.58,20,0.0,0
172.417,22.63,20,0.0,0
172.727,22.6,20,0.0,0
173.041,22.72,20,0.0,0
173.354,22.63,20,0.0,0
173.665,22.67,20,0.0,0
173.979,22.68,20,0.0,0
174.296,22.84,20,0.0,0
174.608,22.82,20,0.0,0
174.92,22.8,20,0.0,0
175.232,22.84,20,0.0,0
175.544,22.73,20,0.0,0
175.857,22.67,20,0.0,0
176.168,22.67,20,0.0,0
176.478,22.5,20,0.0,0
176.79,22.45,20,0.0,0
177.102,22.45,20,0.0,0
177.41,22.37,20,0.0,0
177.735,22.43,20,0.0,0
178.047,22.35,20,0.0,0
178.359,22.37,20,0.0,0
178.674,22.43,20,0.0,0
