Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.008,-273.15,0,0.0,0
0.328,-273.15,0,0.0,0
0.633,-273.15,0,0.0,0
0.948,-273.15,0,0.0,0
1.26,-273.15,0,0.0,0
1.573,-273.15,0,0.0,0
1.886,-273.15,0,0.0,0
2.202,-273.15,0,0.0,0
2.508,-273.15,0,0.0,0
2.828,-273.15,0,0.0,0
3.142,-273.15,0,0.0,0
3.452,-273.15,0,0.0,0
3.765,-273.15,0,0.0,0
4.076,-273.15,0,0.0,0
4.076,-273.15,0,0.0,0
4.388,-273.15,0,0.0,0
4.702,-273.15,0,0.0,0
5.012,-273.15,0,0.0,0
5.324,-273.15,0,0.0,0
5.635,-273.15,0,0.0,0
5.948,-273.15,0,0.0,0
6.26,-273.15,0,0.0,0
6.572,-273.15,0,0.0,0
6.887,-273.15,0,0.0,0
7.196,-273.15,0,0.0,0
7.523,-273.15,0,0.0,0
7.82,-273.15,0,0.0,0
8.133,-273.15,0,0.0,0
8.455,-273.15,0,0.0,0
8.768,-273.15,0,0.0,0
9.07,-273.15,0,0.0,0
9.394,-273.15,0,0.0,0
9.705,-273.15,0,0.0,0
