Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.0,19.85,0,0.0,0
0.242,20.93,0,0.0,0
0.566,19.1,0,0.0,0
0.881,20.18,0,0.0,0
1.197,21.18,0,0.0,0
1.515,19.93,0,0.0,0
1.822,19.27,0,0.0,0
2.131,19.77,0,0.0,0
2.445,20.68,0,0.0,0
2.445,20.52,0,0.0,0
2.77,20.1,0,0.0,0
3.088,20.35,0,0.0,0
3.394,19.27,0,0.0,0
3.711,20.52,0,0.0,0
4.021,20.35,0,0.0,0
4.339,21.18,0,0.0,0
4.659,20.6,0,0.0,0
4.966,21.77,0,0.0,0
5.285,20.68,0,0.0,0
5.592,20.43,0,0.0,0
5.91,20.02,0,0.0,0
6.228,19.85,0,0.0,0
6.544,21.1,0,0.0,0
6.861,19.85,0,0.0,0
7.171,20.1,0,0.0,0
7.481,19.77,0,0.0,0
7.788,20.68,0,0.0,0
8.103,19.69,0,0.0,0
8.409,23.78,0,0.0,0
8.738,19.19,0,0.0,0
9.061,20.1,0,0.0,0
9.061,20.6,0,0.0,0
9.369,19.69,0,0.0,0
9.684,20.27,0,0.0,0
9.994,20.77,0,0.0,0
10.308,20.27,0,0.0,0
10.626,20.52,0,0.0,0
10.935,20.35,0,0.0,0
11.239,18.94,0,0.0,0
11.563,20.27,0,0.0,0
11.871,19.77,0,0.0,0
12.191,19.44,0,0.0,0
12.5,20.52,0,0.0,0
12.802,20.1,0,0.0,0
13.113,21.02,0,0.0,0
13.431,19.02,0,0.0,0
13.746,19.93,0,0.0,0
14.052,20.27,0,0.0,0
14.367,20.43,0,0.0,0
14.687,20.1,0,0.0,0
14.995,21.85,0,0.0,0
15.313,21.18,0,0.0,0
15.622,21.43,0,0.0,0
15.937,19.02,0,0.0,0
16.253,22.35,0,0.0,0
16.564,19.44,0,0.0,0
16.864,20.18,0,0.0,0
17.181,19.85,0,0.0,0
17.181,20.27,0,0.0,0
17.488,20.18,0,0.0,0
17.814,19.93,0,0.0,0
18.113,19.93,0,0.0,0
18.428,19.6,0,0.0,0
18.751,21.02,0,0.0,0
19.052,20.77,0,0.0,0
19.369,19.02,0,0.0,0
19.686,20.6,0,0.0,0
20.002,21.18,0,0.0,0
20.311,18.52,0,0.0,0
20.629,20.6,0,0.0,0
20.947,19.85,0,0.0,0
21.266,22.27,0,0.0,0
21.582,20.52,0,0.0,0
21.9,20.18,0,0.0,0
22.208,19.69,0,0.0,0
22.534,20.02,0,0.0,0
22.84,20.85,0,0.0,0
23.154,19.19,0,0.0,0
23.462,20.43,0,0.0,0
23.778,20.27,0,0.0,0
24.085,19.6,0,0.0,0
24.085,20.43,0,0.0,0
24.402,20.18,0,0.0,0
24.718,19.52,0,0.0,0
25.033,19.69,0,0.0,0
25.339,20.27,0,0.0,0
25.651,20.6,0,0.0,0
25.958,19.77,0,0.0,0
26.284,19.77,0,0.0,0
26.593,21.77,0,0.0,0
26.902,20.77,0,0.0,0
27.219,20.35,0,0.0,0
27.528,21.43,0,0.0,0
27.838,20.93,0,0.0,0
28.146,19.52,0,0.0,0
28.462,20.93,0,0.0,0
28.773,19.44,0,0.0,0
29.091,21.1,0,0.0,0
29.409,22.02,0,0.0,0
29.712,17.94,0,0.0,0
30.02,21.43,0,0.0,0
30.344,21.43,0,0.0,0
30.652,20.85,0,0.0,0
30.972,20.77,0,0.0,0
31.282,19.85,0,0.0,0
31.589,22.02,0,0.0,0
31.896,20.1,0,0.0,0
32.207,20.68,0,0.0,0
32.207,20.6,0,0.0,0
32.532,21.18,0,0.0,0
32.842,19.93,0,0.0,0
33.151,20.27,0,0.0,0
33.459,19.69,0,0.0,0
33.777,19.93,0,0.0,0
34.087,20.43,0,0.0,0
34.405,19.44,0,0.0,0
34.714,20.02,0,0.0,0
35.022,21.1,0,0.0,0
35.339,21.35,0,0.0,0
35.649,20.6,0,0.0,0
35.967,19.77,0,0.0,0
