Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,25.81,,48.89,30.0,0
0.247,25.71,,52.22,0.0,0
0.555,25.52,,57.98,0.0,0
0.868,25.55,,57.1,0.0,0
1.179,25.33,,63.9,0.0,0
1.491,25.52,,58.43,0.0,0
1.819,25.66,,54.61,0.0,0
2.128,25.62,,55.77,0.0,0
2.441,25.59,,56.93,0.0,0
2.75,25.52,,59.12,0.0,0
3.063,25.28,,66.45,0.0,0
3.375,25.49,,60.63,0.0,0
3.376,25.59,,57.72,0.0,0
3.684,25.67,,55.3,0.0,0
3.995,25.74,,53.38,0.0,0
4.308,25.81,,51.45,0.0,0
4.632,25.66,,56.34,0.0,0
4.944,25.5,,61.08,0.0,0
5.255,25.64,,57.13,0.0,0
5.564,25.4,,64.43,0.0,0
5.87,25.62,,57.94,0.0,0
6.182,25.66,,57.21,30.0,0
6.506,25.37,,66.04,30.0,0
6.818,25.38,,65.7,30.0,0
7.129,25.45,,63.8,0.0,0
7.439,25.37,,66.51,0.0,0
7.747,25.45,,64.27,0.0,0
8.054,25.6,,59.82,0.0,0
8.38,25.42,,65.61,0.0,0
8.686,25.52,,62.7,0.0,0
8.998,25.47,,64.39,0.0,0
9.309,25.52,,63.16,0.0,0
9.617,25.5,,63.82,0.0,0
9.944,25.83,,54.18,0.0,0
10.258,25.83,,54.3,0.0,0
10.569,25.84,,54.0,0.0,0
10.878,26.01,,48.99,0.0,0
11.19,25.62,,60.92,0.0,0
11.502,25.62,,61.05,0.0,0
11.815,25.42,,67.34,0.0,0
11.816,25.47,,66.11,0.0,0
12.128,25.45,,66.77,0.0,0
12.438,25.45,,66.93,0.0,0
12.747,25.33,,70.65,0.0,0
13.058,25.32,,71.33,0.0,0
13.371,25.42,,68.6,0.0,0
13.694,25.21,,74.9,0.0,0
14.003,25.38,,69.98,0.0,0
14.313,25.45,,68.08,0.0,0
14.625,25.45,,68.24,0.0,0
14.931,25.54,,65.98,0.0,0
15.243,25.67,,62.03,0.0,0
15.555,25.35,,71.89,0.0,0
15.88,25.57,,65.39,0.0,0
16.19,25.62,,63.99,0.0,0
16.5,25.89,,56.03,0.0,0
16.811,26.2,,46.93,0.0,0
17.122,25.98,,53.67,0.0,0
17.434,26.0,,53.26,0.0,0
17.742,25.89,,56.44,0.0,0
18.071,25.76,,60.78,0.0,0
18.381,25.71,,62.44,0.0,0
18.689,25.71,,62.57,0.0,0
19.0,25.54,,67.81,0.0,0
19.31,25.67,,63.85,0.0,0
19.618,25.76,,61.57,0.0,0
19.943,25.71,,63.24,0.0,0
20.255,25.57,,67.44,0.0,0
20.256,25.57,,67.59,0.0,0
20.567,25.33,,74.91,0.0,0
20.874,25.43,,72.16,0.0,0
21.184,25.86,,59.53,0.0,0
21.494,25.91,,58.1,0.0,0
21.822,26.0,,55.65,0.0,0
